FragmentID, NarrID, EntryDate, ServerEntryDate,Who is in focus in the story - Individual,Who is in focus in the story - Family,Who is in focus in the story - My community,Who is in focus in the story -X,Who is in focus in the story -Y,Who is in focus in the story - N/A,Story applies to_Past,Story applies to_Present,Story applies to_Future,Story applies to -X,Story applies to -Y,Story applies to -N/A,Story is about - Practicalities,Story is about - Cooperation with others,Story is about - Kindness,Story is about -X,Story is about -Y,Story is about -N/A,"Who is losing out most in the story - I, an individual","Who is losing out most in the story - Group of people, community",Who is losing out most in the story - Entire society,Who is losing out most in the story -X,Who is losing out most in the story -Y,Who is losing out most in the story - N/A,"In your story people are - worried, concerned",In your story people are - Satisfied,In your story people are - Curious,In your story people are -X,In your story people are -Y,In your story people are -N/A,"In this story who could do more - I, an individual",In this story who could do more - community,"In this story who could do more - people outside the community, others",In this story who could do more -X,In this story who could do more -Y,In this story who could do more -N/A,Why did you share the story - Because I want to change things,Why did you share the story - I want to advise others to take action,Why did you share the story - because it is  interesting,Why did you share the story -X,Why did you share the story -Y,Why did you share the story - N/A,People in the story - reacted to the outside pressure,People in the story - managed situation,People in the story  - observed,People in the story are - X,People in the story are -Y,People in the story are -N/A,How people work together - they cooperate,How people work together - there is a conflict between them,How people work together - do  not pay attention to each other,How people work together -X,How people work together -Y,How people work together -N/A,"Improve outcome - I, an individual, is the main actor",Improve outcome - community,Improve outcome - others outside the community,Improve outcome -X,Improve outcome -Y,Improve outcome -N/A,How common is the experience?,How do you feel about this story?,Who should hear this story?,How long will you remember this story?,Story Closely relates to - _Discrimination,Story Closely relates to - _What Roma people think how others see them,Story Closely relates to - _Roma Inclusion - positive and negative opinions,Story Closely relates to - _Employment or unemployment issues ,Story Closely relates to - _Health issues ,Story Closely relates to - _Housing issues ,Story Closely relates to _Education,Story Closely relates to - Other,Gender,Municipality ,Interview was held in…,Ethnicity - affiliation attributed to the respondent by the interviewer,Age ,Education ,Ethnicity - self-affiliation,Etnicity - perceived external/attributed affiliation – “How others see me”,Employment,FragmentEntry,FragEntryEng,Story Title,TitleEng,StudentCode,Image Prompter,Image Prompter _N/A,ProjectID,ApplicationName,Latitude,Longitude,Language
bf70fe20-5485-4f69-9e48-273ee976a0c6,2098,40:33.6,40:32.7,0.03940252,54.3906,45.57,0.72822684,0.47139412,,2.0704002,95.3202,2.6094043,0.502695,0.8254729,,,,,,,1,0.016376471,60.32506,39.658566,0.6984397,0.5225862,,96.886475,2.7093582,0.40417233,0.017588515,0.023463048,,0.49823487,55.91133,43.59043,0.71546096,0.48419207,,50.777046,45.566505,3.6564503,0.26439703,0.39460593,,0.3682666,95.3202,4.311538,0.5197163,0.8254729,,,,,,,1,1.1690235,46.059113,52.771866,0.7580142,0.39887193,,It is common - Uobičajeno je,Very negative - Veoma negativna,Whole world - Ceo svet,For a long time - Dugo,1,1,1,,,1,,,Male - Muško,PROKUPLJE,interviewed in the community,Other non-Roma - Drugo,40-49,Faculty - Fakultet,Other non-Roma - Drugo,Other non-Roma - Drugo,Employed - Zaposlen/a,Profesor sam engleskog jezika.Sa prostora KiM.Podstanar samjos uvek.Majka jedne najlepse devojcice.Yivim u mesovitom braku.Rom i ja crnogorka.Ali-predrasude uvek i svuda.Trazimo stan.Dok smo zajedno suprug je malo tamnije puti-nista-nema-sve je zauzeto.Ide moja majka.Nadje.Dobro je.Srpkinja jemoze.Mada nisu odusevljeni jer je staraali tu sam jamoze.Poslednji ulazi moj suprugPocinju da ga upoznaju.Sad je dobrojer poznaju ga .Boja tena vise nije tako bitna jer je dobar i posten.Hoce da pomogne.Cemu distanca na prvi pogled?Ko nam je ikad rekao da to moze tako?Jel vama sunarodnici moji lepo kad svet ne voli sto ste srbi i pravoslavni?To nas sve boli jel da?Ne vredimo zbog toga manje od drugih.Kazemo da smo izabrani narod???Ko nas je to izabrao?A jel nam tad neko rekao-vrednujte ljude po boji koze...?,I'm a professor of English jezika.Sa space KiM.Podstanar samjos uvek.Majka one the most beautiful devojcice.Yivim in mixed braku.Rom and I crnogorka.Ali-bias always svuda.Trazimo stan.Dok we together husband is a little darker-nothing-no -all the zauzeto.Ide my majka.Nadje.Dobro je.Srpkinja jemoze.Mada not thrilled because I'm staraali jamoze.Poslednji enters my suprugPocinju to upoznaju.Sad is dobrojer know it .afraid complexion is no longer so important because it is good and posten.Hoce to pomogne.Cemu distance at first sight? when we had ever said that to be so? Are you my compatriots nice if the world does not like what you itch and Orthodox? it hurts us all right? it's no good because less of drugih.Kazemo that we are the chosen people ??? When we chose it? And right then someone told us-Evaluate people by the color of the skin ...?,Nije lako naci stan,It is not easy to find an apartment,,Housing issues - Pitanja stanovanja,,roma,SenseMaker New WebCollector; Mozilla/5.0 (Windows NT 5.1; rv:21.0) Gecko/20100101 Firefox/21.0,,,sr
7a3f733b-9a3c-4db1-945d-02e38979dea3,2099,43:31.4,,14.355904,71.18227,14.461832,0.50052965,0.6164384,,65.572815,20.443352,13.983833,0.24205509,0.17703941,,19.307049,15.517242,65.1757,0.72934324,0.1343793,,17.213459,69.70444,13.082102,0.4793432,0.60364044,,14.464444,72.6601,12.875459,0.4920551,0.62923646,,59.818035,20.93596,19.246002,0.29713982,0.1813054,,20.223394,14.532021,65.24458,0.72510594,0.12584728,,57.699394,20.93596,21.364649,0.31832626,0.1813054,,68.63702,16.00985,15.353127,0.23358051,0.13864529,,68.21329,16.009848,15.776854,0.2378178,0.13864529,,It is common - Uobičajeno je,Positive - Pozitivna,Younger generation - Mlađe generacije,For a long time - Dugo,,1,,,,,,,Female - Žensko,BELA PALANKA,Approached for a service,Roma - Rom/Romkinja,Above 50,Elementaty school - Osnovna škole,Roma - Rom/Romkinja,Roma - Rom/Romkinja,Unemployed - Nezaposlen/a,kupila sam cveće za 8 mart za moju sestru i njenu snajku,I bought flowers for March 8 for my sister and her lass,8 mart,March 8,19,Roma Inclusion - Inkluzija Roma,,roma,SenseMaker New WebCollector; Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/37.0.2062.103 Safari/537.36,,,sr
10dc8ea2-9e62-4e1f-a3d9-7741e4376949,2100,55:03.1,,19.655645,52.95566,27.38869,0.53866524,0.45859605,,17.370016,58.374386,24.2556,0.53442794,0.50552213,,47.04773,27.832512,25.11976,0.39036018,0.24102958,,45.204617,23.891623,30.903765,0.42849576,0.20690149,,45.776543,27.832512,26.390945,0.40307203,0.24102958,,20.296453,55.91133,23.792215,0.5174788,0.48419207,,18.956383,56.896557,24.147064,0.5259534,0.49272418,,22.02894,37.19212,40.778942,0.59375,0.32208374,,17.19259,57.88177,24.925636,0.53866524,0.50125617,,19.803843,56.896557,23.299604,0.5174788,0.49272418,,It is common - Uobičajeno je,Negative - Negativna,My country - Moja zemlja,Forever - Zauvek,,,,,,1,,,Male - Muško,NOVI PAZAR,interviewed in the community,Roma - Rom/Romkinja,40-49,No primary school - Bez osnovne škole,Roma - Rom/Romkinja,Roma - Rom/Romkinja,Unemployed - Nezaposlen/a,Podseca me nazivot na Kosovo da smo ziveli lepo sam imao kucu i auto  bio veseo i svi mi tako cela familija. Kada smo otisli sve ostavili doso sam ovde na Batnjik i nista nemamo. mi da imamo lepe kuce i cvece okolo kao na sliku.,Reminds me of the title of Kosovo that we lived I had a nice house and a car was cheerful and all of us so the whole family. When we went all left doso'm here to Batnjik and do not have anything. I think we have a beautiful house and flowers around as the picture.,kuce i cvece,house and flowers,20,Roma Inclusion - Inkluzija Roma,,roma,SenseMaker New WebCollector; Mozilla/5.0 (Linux; Android 4.2.2; IdeaTab S6000-H Build/JDQ39) AppleWebKit/537.36 (KHTML like Gecko) Chrome/37.0.2062.117 Safari/537.36,,,sr
0bd90882-5ca1-4290-80ee-a799cb050671,2101,15:38.4,,71.75977,14.778328,13.461898,0.20851064,0.12798032,,14.588618,76.354675,9.056704,0.47234043,0.6612315,,45.559166,43.349754,11.091079,0.32765958,0.3754089,,74.20082,13.30049,12.498692,0.19148937,0.11518224,,47.237186,28.07882,24.683994,0.38723403,0.24316257,,33.329845,35.46798,31.202179,0.4893617,0.30715272,,42.289074,41.37931,16.33162,0.37021276,0.35834482,,41.07955,40.394093,18.526358,0.38723403,0.34981284,,21.390833,20.197044,58.412125,0.6851064,0.17490642,,22.803692,36.945812,40.2505,0.587234,0.31995076,,It is common - Uobičajeno je,Negative - Negativna,Whole world - Ceo svet,Forever - Zauvek,,,,1,1,,,,Female - Žensko,NIŠ,Approached for a service,Roma - Rom/Romkinja,Above 50,No primary school - Bez osnovne škole,Roma - Rom/Romkinja,Roma - Rom/Romkinja,Unemployed - Nezaposlen/a,Imam šezdeset i dve godine. Trpela sam oca da bije i majku i nas šestoro dece sve dok se sa četrnest godine nisam udala. Da pobegnem od batine i sirotinju. Rodila sam petoro dece. Svi su veliki i imaju svoju decu. Sa mene u kuću žive dva sina snaja i troje unučića. Muž mi je umro kad sam imala trideset i osam godine. Od tad radim po tuđe njive da nahranim i iškolujem decu. Niko mi nije nikad pomogo. Po socijalno nisam išlabilo me sramotazdrava sam. Zdrava al namućena. Vidi mi se po ruke.Sad sam ostarelane mogu više da radim. Razbolela sam se a nemam pravo na penziju i ako sam celi vek radela kao nadničarka.,"I have sixty-two years. Suffering my father to fight and mother and us six children until the fourteen years I got married. To get away from the beating and the poor. I gave birth to five children. All are large and have their own children. With me in the house live two sons, daughter in law and three grandchildren. My husband died when I was thirty-eight years. Since then I work at someone else's arable land to feed and iškolujem children. No one has ever helped. After social'm not išlabilo sramotazdrava me alone. Healthy al mortified. See me after ruke.Sad ostarelane I can no longer work. I got sick and I have no right to a pension and if I have the whole century working as a charwoman.",Nadničarka,charwoman,,Employment or unemployment issues -Teme o zaposljavanju I nezaposlenosti,,roma,SenseMaker Collector HTML,,,sr
e94914fb-e037-47ad-8793-be6322e8ab78,2102,15:10.9,,94.82653,0.98522186,4.1882396,0.04680851,0.008532031,,1.6004639,92.118225,6.2813134,0.52340424,0.79774386,,9.908813,85.71429,4.3768992,0.47234043,0.7422857,,0.61418945,84.729065,14.656748,0.5702128,0.7337537,,86.18173,2.9556656,10.862593,0.12340426,0.025596043,,1.8918312,94.08868,4.019497,0.5106383,0.81480783,,0.055551756,96.05911,3.8853369,0.51914895,0.8318719,,10.212773,0,89.787224,0.8978723,0,,0.7273877,95.566505,3.7061083,0.5148936,0.8276059,,5.4691267,94.47434,0.05653269,0.47234043,0.8190739,,Very rare - Veoma retko,Very negative - Veoma negativna,Whole world - Ceo svet,For a while - Neko vreme,1,,,,,,,,Male - Muško,ČAČAK,interviewed in the community,Serb - Srbin,40-49,High school - Srednja škola,Serb - Srbin,Serb - Srbin,Employed - Zaposlen/a,slika 1 Gojazna deca su cesto izbegavana i pigotovo ako su romska. Bivaju ismejavana  predmet neslanih sala . Uvek postoji sukob izmedu njih Do duse i vecina roma je ne zainteresovana za skolu i obrazovanje . Izbegavaju casove  i profesore za bolji posticaj oko obrazovanja. Manjna je obrazovana  skoluju decu oni koji su u mogucnosti  ali ima i onih koji nece da salju decu u skolu. U mom odeljenju je bio rom koji je imao visak kilograma Ostala deca su ga izbegavala  on je uvek bio sam.Nastavnica je pokusavala na svaki nacin da se deca druze sa njm ali nije vredelo.Jer su svi bili bezobrazni i uobrazeni dasu oni visi stalez.. Svi su ga dirali  on se ispisao iz tog odeljenja Posle toga se ispisao i iz skole.,"Figure 1 Obese children are often shunned and pigotovo if Roma. Are ridiculed the subject of practical jokes. There is always a conflict between them, to the soul and most of the Roma is not interested in school and education. Avoid classes and teachers for better encouragement about education. Minorities to educate their children educated by those who are able but there are those who will not send children to school. In my department was Roma who had the extra pounds Other children avoided him he was always sam.Nastavnica is trying in every way that children interact with a suitable business or not vredelo.Jer were all rude and conceited dasa they hang stocks. . All they touched him he dropped out of the office after that and dropped out of school.",dojaznost i romi,dojaznost i romi,10,Discrimination - Diskriminacija,,roma,SenseMaker New WebCollector; Mozilla/5.0 (Linux; U; Android 4.2.2; sr-rs; IdeaTab S6000-H Build/JDQ39) AppleWebKit/534.30 (KHTML like Gecko) Version/4.0 Safari/534.30,,,sr
fb49307f-5f76-4750-9ae8-c8707b9ffff8,2103,29:29.2,,7.816283,7.1428604,85.04086,0.8861229,0.061857164,,4.3575726,8.128076,87.51435,0.9157839,0.070389144,,83.240005,7.1428604,9.617128,0.13188559,0.061857164,,2.3954785,96.79803,0.8064942,0.4920551,0.8382709,,82.60964,10.098526,7.2918386,0.123411015,0.08745321,,84.93492,7.1428604,7.9222136,0.11493644,0.061857164,,87.654724,7.6354675,4.70981,0.08527543,0.06612316,,83.978935,5.665024,10.356047,0.13188559,0.049059093,,93.04422,0.24630737,6.7094736,0.06832627,0.002132995,,85.220894,9.1132965,5.665808,0.10222457,0.07892118,,Constantly - Stalno,Very positive - Veoma pozitivna,Whole world - Ceo svet,For a long time - Dugo,,,,1,,,,,Male - Muško,BELA PALANKA,interviewed in the community,Roma - Rom/Romkinja,40-49,Elementaty school - Osnovna škole,Roma - Rom/Romkinja,Roma - Rom/Romkinja,Unemployed - Nezaposlen/a,za nas je karakteristican prljav tezak i fizicki rad ako se obrazujemo mozemo se zaposl;iti na bolja i kvalitetnija rtadna mesta sto ce nam doneti i vise para,for us is characteristic dirty and hard physical work if we can educate the staff; go better and better rtadna site which will bring us more money and,ocu drugi posao,father another job,4,Employment or unemployment issues -Teme o zaposljavanju I nezaposlenosti,,roma,SenseMaker Collector HTML,,,sr
69deceb8-edb7-4b60-b6da-049f1e2316e0,2104,38:53.8,,20.766104,21.92118,57.312714,0.68273306,0.18983743,,32.267315,36.206894,31.525791,0.49629238,0.31355172,,30.463856,34.729065,34.80708,0.5217161,0.30075368,,,,,,,1,15.956889,17.980293,66.06282,0.75052965,0.15570936,,17.405493,18.4729,64.121605,0.7335805,0.15997535,,16.518377,16.00985,67.47176,0.75476694,0.13864529,,19.115023,66.748764,14.136213,0.47510594,0.57804435,,64.646034,15.517242,19.83672,0.27595338,0.1343793,,16.134315,18.4729,65.39278,0.74629235,0.15997535,,Very rare - Veoma retko,Very positive - Veoma pozitivna,Younger generation - Mlađe generacije,Forever - Zauvek,,,,,,,,,Female - Žensko,KOVIN,Approached for a service,Roma - Rom/Romkinja,40-49,Elementaty school - Osnovna škole,Roma - Rom/Romkinja,Roma - Rom/Romkinja,Unemployed - Nezaposlen/a,Devojčica iz socijalno ugrožene porodice završava gimnaziju sa odličnim uspehom ima želju da upiše višu kriminalističku školuali zbog dosieja njenog dede nije mogla upisati željenu školu upisala je medicinski fakultet.Radujeme što nije odustala na prvu prepreku kad nije mogla upisati kriminalističku već se opredelila za drugi smer.To je naterala želja da izađe iz bede i siromaštva jer se nada brzom zaposlenju posle završenog fakulteta.Sada je na četvrtoj godini. Želi da dokaže svima da i oni najgori ciganikako ona kaže mogu biti najbolji u svom radu i da se sve predrasude o ciganima uklone.,"The girl from socially vulnerable families completed high school with honors wishes to enroll a higher crime školuali due dossiers her grandfather could not enter the desired school, she enrolled in medical fakultet.Radujeme you did not give up at the first hurdle when they could not enter the crime but opted for another direction. this has forced the desire to get out of poverty because hope is the rapid employment after completing fakulteta.Sada is the fourth year. He wants to prove to everyone that they worst ciganikako she says may be the best in their work and to all the prejudices against Gypsies removed.",izlazak iz bede,out of misery,8,Education issues,,roma,SenseMaker Collector HTML,,,sr
c9bd92c8-751c-4674-a4f8-c591f4145cdc,2105,07:01.0,07:00.7,23.10183,24.876846,52.021324,0.6445975,0.21543348,,15.587431,68.71921,15.693359,0.50052965,0.59510833,,,,,,,1,21.223228,60.83744,17.939331,0.4835805,0.5268522,,55.75817,21.428576,22.813255,0.3352754,0.18557145,,16.470367,28.817734,54.711903,0.69120765,0.24956155,,18.296791,63.30049,18.402718,0.50052965,0.54818225,,,,,,,1,,,,,,1,23.525557,24.876846,51.597595,0.6403602,0.21543348,,It is common - Uobičajeno je,Very negative - Veoma negativna,Whole world - Ceo svet,Forever - Zauvek,,,,,1,,,,Female - Žensko,LEBANE,interviewed in the community,Roma - Rom/Romkinja,30-39,Elementaty school - Osnovna škole,Roma - Rom/Romkinja,Roma - Rom/Romkinja,Unemployed - Nezaposlen/a,Kad mi romi idemo kod doktorapojedini doktori nas uopste ne vole. Nekad i ne zele da nas primevrate nas kucikao da mi nismo ljudikao da nama nije nista. Razumem i da nas nece niko da radimoali da nas nece niko kod doktorato nije lepo. Treba da se za takvi doktori odrzi jedna dobra lekcijada smo svi ljudii da nas zivot kao i na svi ostalizavisi od njih.,When we go to Roma doktorapojedini doctors do not like us at all. Sometimes i do not want us primevrate us kucikao that we ljudikao to us is nothing. I understand that we will not be anyone to radimoali he will not nobody with a doctorate is not nice. You need to for such doctors maintain a good lekcijada we all ljudii to our lives as well as on all ostalizavisi of them.,Zdravlje,health,,Health issues - Pitanja zdravstva,,roma,SenseMaker New WebCollector; Mozilla/5.0 (Linux; Android 4.2.2; IdeaTab S6000-H Build/JDQ39) AppleWebKit/537.36 (KHTML like Gecko) Chrome/40.0.2214.109 Safari/537.36,,,sr
4cc0a0f6-92f3-46d8-aa4c-dcef91c7e78e,2106,20:09.2,20:10.4,94.39472,5.172417,0.43285918,0.030190678,0.044793103,,0.51895994,53.940887,45.54015,0.72510594,0.46712807,,37.216385,59.35961,3.4240088,0.33103815,0.51405424,,2.3808594,48.522167,49.096973,0.7335805,0.420202,,53.858696,45.566505,0.57479984,0.23358051,0.39460593,,59.98711,36.69951,3.31338,0.21663135,0.31781775,,4.5934353,1.7241365,93.68242,0.94544494,0.014931017,,8.776463,50.985218,40.23832,0.6573093,0.44153202,,3.0968218,14.039406,82.86377,0.89883476,0.121581286,,76.27458,21.92118,1.8042395,0.12764831,0.18983743,,Sometimes - Ponekad,Negative - Negativna,Younger generation - Mlađe generacije,For a while - Neko vreme,,,1,,,,,,Male - Muško,VRANJE,interviewed in the community,Serb - Srbin,Above 50,High school - Srednja škola,Serb - Srbin,Serb - Srbin,Employed - Zaposlen/a,Nema razlika oko ostvarivanja prava na zdravstvenu zastitu Srba ili Roma. Naime ja sam vudeo da se isto tretiraju jer sam sam doziveo neprijatnost od strane lekara. Cuo sam razna zaljenja od strane komsija roma ali eto covek dok ne oseti na svojoj kozi nemoze da razume upotpunosti,There is no difference regarding exercising rights to health care Serbs or Roma. In fact I am Marina Live to be treated the same because I'm experienced discomfort by a doctor. I heard various mourning by neighbors roma but that's a man until you feel on their skin nemoze to understand fully,svi smo isti,We are all the same,19,Health issues - Pitanja zdravstva,,roma,SenseMaker New WebCollector; Mozilla/5.0 (Linux; Android 4.2.2; IdeaTab S6000-H Build/JDQ39) AppleWebKit/537.36 (KHTML like Gecko) Chrome/41.0.2272.96 Safari/537.36,,,sr
6501b78b-3960-4839-959f-8c030d2747f1,2107,05:43.8,,18.401163,22.413788,59.185047,0.7039195,0.19410342,,18.503431,60.344826,21.151743,0.5132415,0.5225862,,,,,,,1,16.85444,26.354683,56.79088,0.6996822,0.22823155,,52.96949,21.92118,25.109327,0.36069915,0.18983743,,13.468784,68.71921,17.812006,0.5217161,0.59510833,,56.9897,18.965515,24.044785,0.3352754,0.16424139,,53.885834,20.93596,25.17821,0.35646185,0.1813054,,49.12671,25.36946,25.50383,0.3818856,0.21969952,,21.726278,65.76355,12.510173,0.4539195,0.5695123,,It is common - Uobičajeno je,Very negative - Veoma negativna,Whole world - Ceo svet,For a long time - Dugo,,1,,,,,,,Female - Žensko,LEBANE,interviewed in the community,Roma - Rom/Romkinja,18-20,High school - Srednja škola,Roma - Rom/Romkinja,Roma - Rom/Romkinja,Unemployed - Nezaposlen/a,Romi su ljudi koji rade cetri godisnja doba ne birajuci posaood najlaksegdo najtezeg. Cesto zbog toga izgube zdravlje i kratak im je zivotni vekdok ih drugi ljudi smatraju prljavim i neodgovornimneobrazovanima ne znaju uopste njihovu realnu situacijune znaju pravu pricune razumu njihovu tugui bolne razumu njihov zivot!,"Roma are people working four seasons not choosing posaood najlaksegdo heaviest. Often, because of the loss of health and short life vekdok they do other people feel dirty and neodgovornimneobrazovanima not know at all how truly situacijune know the real reason pricune their sorrow sick sense of their lives!",Tuzan zivot roma,Sad life roma,17,Employment or unemployment issues -Teme o zaposljavanju I nezaposlenosti,,roma,SenseMaker New WebCollector; Mozilla/5.0 (Linux; Android 4.2.2; IdeaTab S6000-H Build/JDQ39) AppleWebKit/537.36 (KHTML like Gecko) Chrome/37.0.2062.117 Safari/537.36,,,sr
