FragmentID, NarrID, EntryDate, ServerEntryDate,T0 Example triad-Milk,T0 Example triad-Tea/Coffee,T0 Example triad-Sugar,T0 Example triad-X,T0 Example triad-Y,T0 Example triad-Не относится,T1 People were-resourceful/persistent,T1 People were-future-focused,T1 People were-resilient/adaptable,T1 People were-X,T1 People were-Y,T1 People were-Не относится,T2 People affected by-beliefs/traditional values,T2 People affected by-information,T2 People affected by-actions/events,T2 People affected by-X,T2 People affected by-Y,T2 People affected by-Не относится,T3 What made things happen-government/institutions,T3 What made things happen-communities/your networks,T3 What made things happen-specific individuals,T3 What made things happen-X,T3 What made things happen-Y,T3 What made things happen-Не относится,T4 Lesson applies to-past,T4 Lesson applies to-present,T4 Lesson applies to-future,T4 Lesson applies to-X,T4 Lesson applies to-Y,T4 Lesson applies to-Не относится,T5 What people pursued-food security,T5 What people pursued-personal/property security,T5 What people pursued-community/family security,T5 What people pursued-X,T5 What people pursued-Y,T5 What people pursued-Не относится,T6 What shaped events-trust,T6 What shaped events-understanding,T6 What shaped events-personal efforts,T6 What shaped events-X,T6 What shaped events-Y,T6 What shaped events-Не относится,T7 What people value-ability to afford things,T7 What people value-ability to affect decisions,T7 What people value-ability to make choices,T7 What people value-X,T7 What people value-Y,T7 What people value-Не относится,T8 Government was-stable,T8 Government was-fair/unbiased,T8 Government was-accessible,T8 Government was-X,T8 Government was-Y,T8 Government was-Не относится,T9 People had-a sense of belonging,T9 People had-choices,T9 People had-confidence,T9 People had-X,T9 People had-Y,T9 People had-Не относится,D1 People did-what they were born to do,D1 People did-brought up to do,D1 People did-X,D1 People did-Не относится,Q1 Feeling about example,Q2 How common,Q3 Who should hear_everyone,Q3 Who should hear_NGOs,Q3 Who should hear_my friends and family,Q3 Who should hear_international community,Q3 Who should hear_my government,Q3 Who should hear_no one special,Q4 Who influenced_tv/radio,Q4 Who influenced_religious leaders,Q4 Who influenced_local government,Q4 Who influenced_manager/boss,Q4 Who influenced_celebrities,Q4 Who influenced_newspapers/magazines,Q4 Who influenced_teachers,Q4 Who influenced_doctors/nurses,Q4 Who influenced_police,Q4 Who influenced_politicians,Q4 Who influenced_no one special,Q4 Who influenced_peers and friends,Q4 Who influenced_parents,Q4 Who influenced_facebook/social computing,Q4 Who influenced_diaspora/community leaders,Q4 Who influenced_CSOs,Q4 Who influenced_opposition groups,Q4 Who influenced_central government,Q4 Who influenced_military,Q4 Who influenced_grandparents,Q4 Who influenced_other,Q4 Who influenced: Other,Q5 Story involves_security,Q5 Story involves_education,Q5 Story involves_politics,Q5 Story involves_violence,Q5 Story involves_business/trade,Q5 Story involves_justice,Q5 Story involves_democracy,Q5 Story involves_human rights,Q5 Story involves_conflict,Q5 Story involves_relations with other countries,Q5 Story involves_cooperation,Q5 Story involves_other,Q5 Story involves: Other,Q6 Who impacted experience_ambitions for the future,Q6 Who impacted experience_recreation/leisure activities,Q6 Who impacted experience_calls for change,Q6 Who impacted experience_freedom of movement,Q6 Who impacted experience_utilities,Q6 Who impacted experience_respect/tolerance,Q6 Who impacted experience_trust,Q6 Who impacted experience_freedom of speech,Q6 Who impacted experience_employment opportunities,Q6 Who impacted experience_other,Q6 WhoImpacted: Other,DQ1 Age,DQ2 Gender,DQ3 Education,DQ4 Travel abroad for_business,DQ4 Travel abroad for_studies/exchange programmes,DQ4 Travel abroad for_sport,DQ4 Travel abroad for_never travelled,DQ4 Travel abroad for_tourism,DQ4 Travel abroad for_visiting relatives/friends,DQ4 Travel abroad for_other,DQ4 TravelAbroadFor:Other,DQ5 Live,DQ6 Where do you live?,DQ6 Who lives with you,DQ7 Language,DQ7_other,DQ7 Daily expenses_wages/salary,DQ7 Daily expenses_pension and/or other types of social assistance,DQ7 Daily expenses_remittances,DQ7 Daily expenses_other (please specify),DQ7 Daily Expenditures,Your experience,StoryTitle,S1-Как я вижу события в своем примере-XRight,S1-Как я вижу события в своем примере-YTop,S1-Как моя семья видит события в моем примере-XRight,S1-Как моя семья видит события в моем примере-YTop,S1-Как посторонний видит мой пример-XRight,S1-Как посторонний видит мой пример-YTop,S1-Как правительство видит мой пример-XRight,S1-Как правительство видит мой пример-YTop,ProjectID,ApplicationName,Latitude,Longitude,Language
006a7c46-0c3e-4af7-b710-afaad54fcdae,0,49:58.8,21:01.1,,,,,,1,,,,,,1,,,,,,1,76.187416,11.632652,12.1799345,0.17996259,0.10073876,,32.476578,32.85715,34.66627,0.5109485,0.28454286,,74.92699,12.040817,13.032189,0.19052596,0.10427348,,,,,,,1,,,,,,1,,,,,,1,13.088825,71.63265,15.2785225,0.5109485,0.6203388,,,,,1,strongly negative,it's very common,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,30-34,female,complete technical/vocational,,,,1,,,,,urban area,Chui,,Kyrgyz,,,,,,,Я работала в частнойторговой компании и была свидетелем тогочто они продавали просроченные товары.И убедилась в томчто директоров не волнует жизнь и здоровье их покупателей.Меня удивляет тос какой легкость. они переступают черту ради денег.,Личная выгода важнее здоровья людей.Для бизнесменов это стало нормой.,0.18796165,0.3358025,0.47432527,0.345679,0.69705254,0.32592595,0.84477985,0.32098764,foikyrg2015,SenseMaker New WebCollector; Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML like Gecko) Chrome/47.0.2526.111 Safari/537.36,,,ru
09f6c941-e02b-47a6-b5f4-899bc39def64,1,55:29.5,26:32.3,32.568558,34.081635,33.349808,0.50390625,0.29514694,,76.53953,11.632652,11.82782,0.17644146,0.10073876,,,,,,,1,76.33544,12.040817,11.623736,0.17644146,0.10427348,,79.56051,11.224487,9.215,0.14827244,0.09720409,,,,,,,1,14.905439,70.81633,14.278233,0.496864,0.6132694,,12.342921,13.2653055,74.39178,0.81024426,0.114877544,,,,,,,1,14.1451645,71.63265,14.222185,0.5003851,0.6203388,,0.15954548,0.8404545,0.8404545,,strongly negative,it's very common,1,,,,1,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,коррупция,1,,1,,,,,,,,,17-19,male,incomplete secondary,,,,,,1,,,urban area,Chui,,Kyrgyz,,,,,,,Меня волнует коррупция в ГАИ.Я был свидетелем случаякогда инспектор ГАИ брал взятку у водителя.В нашем городе это обычное явление.Меня это расстраиваетт.к. водители перестали соблюдать правила дорожного движенияиз-за которых случаются большинство аварий.Люди перестали бояться ответственностит.к. за любое нарушение они могут дать взятку и быть свободными.,Коррупция в ГАИ.,0.18341619,0.34320986,0.47659802,0.32839507,0.7493253,0.3333333,0.78568894,0.6197531,foikyrg2015,SenseMaker New WebCollector; Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML like Gecko) Chrome/47.0.2526.111 Safari/537.36,,,ru
155e7c74-ec93-433b-ac55-5dcd61c24993,2,53:33.7,24:37.9,41.90026,16.122452,41.977287,0.5003851,0.13962041,,14.849387,71.63265,13.517961,0.49334288,0.6203388,,13.307269,12.040817,74.65191,0.8067232,0.10427348,,74.11067,13.67347,12.215863,0.19052596,0.11841222,,11.342632,12.448975,76.2084,0.8243288,0.10780815,,,,,,,1,11.04657,11.632652,77.32077,0.831371,0.10073876,,12.104346,75.71429,12.181367,0.5003851,0.6556857,,12.400408,76.53061,11.068982,0.49334288,0.6627551,,11.456169,74.897964,13.645866,0.5109485,0.6486163,,,,,1,positive,it's somewhat common,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,,,,,,,,,,,,,1,,,,,60 and over,male,university degree,,1,,,,,,,urban area,Chui,,Kyrgyz,,,,,,,Сбор биометрических данных меня порадовал.Считаючто в перспективе база биометрических данных решает многие проблемы:1)элементарный учет граждан2)работу структур3)порядоксистематизацию всех документов4)облегчает доступ к социальным услугам5)предупредит выдачу поддельных документов6)можно будет наконец=то провести учет внешней миграции7)возможно будут честные выборы.,Биометрические данные.,,,,,,,,,foikyrg2015,SenseMaker New WebCollector; Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML like Gecko) Chrome/47.0.2526.111 Safari/537.36,,,ru
1cebf44e-f0b6-4f60-a71d-182174f713c8,3,16:32.4,47:34.8,33.588963,32.040817,34.370213,0.50390625,0.27747348,,12.2509365,12.040817,75.70824,0.81728655,0.10427348,,10.786427,12.857146,76.35642,0.8278499,0.11134288,,70.0894,13.2653055,16.645296,0.23277949,0.114877544,,12.807126,11.632652,75.56021,0.8137654,0.10073876,,17.242313,67.551025,15.20666,0.48982173,0.5849918,,73.110374,12.857146,14.032475,0.20461048,0.11134288,,11.694751,12.448975,75.85628,0.82080764,0.10780815,,15.685836,67.14285,17.171312,0.5074274,0.58145714,,13.905151,70,16.094849,0.5109485,0.6062,,,,,1,negative,it's somewhat common,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,Коррупция,1,,,,,,,,,,,25-29,female,university degree,,,,,,1,,,urban area,Chui,,Russian,,,,,,,В период выборов в парламентарий в КРвсе усердно выбирали достойную партию.В окончании выборов начались бесконечные судыразборкимоментально повысили тарифы на светвсе это негативно сказывается на простых людей.Что можно ожидать от новых депутатов?,Мы не в силах изменить ситуацию.,0.18341619,0.32592595,0.46977982,0.3333333,0.76523435,0.32098764,0.801598,0.64444447,foikyrg2015,SenseMaker New WebCollector; Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML like Gecko) Chrome/47.0.2526.111 Safari/537.36,,,ru
1fa088d8-99da-4344-a0e8-3d2d8fbe70d3,4,38:33.3,09:35.5,,,,,,1,19.022999,64.69387,16.283125,0.48630062,0.560249,,13.863463,11.632652,74.503876,0.80320203,0.10073876,,70.32941,14.897956,14.772633,0.22221611,0.12901634,,13.9223995,38.97959,47.098015,0.66587806,0.33756325,,,,,,,1,,,,,,1,12.751084,12.448975,74.79994,0.81024426,0.10780815,,73.906586,14.0816345,12.01178,0.19052596,0.121946946,,16.129929,68.36735,15.502723,0.496864,0.5920612,,0.33772725,0.66227275,0.66227275,,strongly negative,it's rare but happens occasionally,1,,,,,,,1,1,,,,,,,1,,,,,,,,1,,,,,,,1,,,,1,,,,,1,коррупция,,,1,,,,,,,,,50-54,female,university degree,,,,,,1,,,urban area,Chui,,Russian,,,,,,,Меня очень расстроилипрошедшие выборы в ЖК КР.Сам процесс конечно же был прозрачнымно то как голоса людей покупалименя сильно возмущало.Не знаюкак можно объяснить такое равнодушное отношение ук будущему своей страны.Ведь каждому понятно точто партиикупившие голоса людей за большие деньгипридя к власти все себе вернут.Я очень разочарована нашим правительством и людьми продавшими свои голоса.,Выборы ЖК КР.,0.18568893,0.3530864,0.46068892,0.35555553,0.7720526,0.3308642,0.74705255,0.6419753,foikyrg2015,SenseMaker New WebCollector; Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML like Gecko) Chrome/47.0.2526.111 Safari/537.36,,,ru
207619f6-bb91-44e4-98a4-22c8d476c91d,5,52:04.5,23:07.0,33.532913,32.85715,33.609936,0.5003851,0.28454286,,12.2523775,76.12245,11.625171,0.496864,0.6592204,,13.567415,10.816322,75.61627,0.81024426,0.09366936,,10.046287,10.816322,79.1374,0.8454555,0.09366936,,13.458182,40.612244,45.92957,0.662357,0.35170203,,,,,,,1,9.730097,12.857146,77.41276,0.8384133,0.11134288,,11.900264,76.12245,11.977285,0.5003851,0.6592204,,,,,,,1,,,,,,1,0.19590908,0.8040909,0.8040909,,strongly negative,it's rare but happens occasionally,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,under 17,female,complete secondary,,,,,1,1,,,urban area,Chui,,Dungan,,,,,,,Меня огорчают учителякоторые плохо владеют русским языкомт.к. они иногда начинают продолжать свою мысль на кыргызском языкетем самым ученики других национальностейостаются в непонимании.Прошу принять мерыесли это возможно.,Знание русского языка-дорога в будущее.,0.18568893,0.3530864,0.48114347,0.34320986,0.69932526,0.34814817,0.84477985,0.35555553,foikyrg2015,SenseMaker New WebCollector; Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML like Gecko) Chrome/47.0.2526.111 Safari/537.36,,,ru
20f2510d-ef67-45b7-a4ed-805676876d16,6,44:50.7,15:54.2,33.272785,34.081635,32.645576,0.496864,0.29514694,,10.491812,76.12245,13.385736,0.5144696,0.6592204,,,,,,,1,,,,,,1,12.772639,73.67347,13.553889,0.50390625,0.63801223,,12.825818,44.69387,42.480312,0.64827245,0.38704896,,12.807126,11.632652,75.56021,0.8137654,0.10073876,,12.068416,73.67347,14.258114,0.5109485,0.63801223,,,,,,,1,,,,,,1,,,,1,positive,it's somewhat common,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,30-34,male,complete technical/vocational,,,,,,1,,,urban area,Chui,,Ukrainian,,,,,,,Городв котором я живукак и многие города нашего небольшого государства славятся ужасными дорогами.Совсем недавно на соседней улице жителине дождавшись даже ямочного ремонтаначали сами ремонтировать дорогу.Конечно они это делали для себяно как приятно понимать насколько сознательнее становится наш народочень хочется сказать им большое спасибо.,Ремонт дорог.,0.19932528,0.6987654,0.4425071,0.6617284,0.65387076,0.6518519,0.8425071,0.6518519,foikyrg2015,SenseMaker New WebCollector; Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML like Gecko) Chrome/47.0.2526.111 Safari/537.36,,,ru
253de919-af9b-41b0-a099-d3aded6f9eb3,7,46:46.9,17:49.0,32.160397,34.897957,32.941647,0.50390625,0.30221632,,12.808569,75.71429,11.477143,0.49334288,0.6556857,,13.736998,72.44899,13.814018,0.5003851,0.62740815,,10.750515,10.816322,78.43317,0.8384133,0.09366936,,71.03364,14.897956,14.068407,0.21517386,0.12901634,,,,,,,1,9.582066,12.448975,77.96896,0.84193444,0.10780815,,16.073877,69.18367,14.742452,0.49334288,0.5991306,,13.588968,72.04082,14.370218,0.50390625,0.6238735,,14.497277,71.63265,13.87007,0.496864,0.6203388,,0.19590908,0.8040909,0.8040909,,strongly negative,it's very common,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,1,,,,1,коррупция,1,,,,1,1,,,,,,55-59,female,complete technical/vocational,,,,,,1,,,rural area,Chui,,Russian,,,,,,,Мой муж болен онкологическим заболеванием.При обращении Бишкекский онкологический центр с нас требовали огромную сумму денег за лечение.Почему бы не осуществить строгий контроль за предотвращение коррупции в медицине.Проблема является достаточно серьезной.,Бесплатное лечение в онкологии.,0.17432529,0.3308642,0.4584162,0.3308642,0.70841616,0.31851852,0.8675071,0.32098764,foikyrg2015,SenseMaker New WebCollector; Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML like Gecko) Chrome/47.0.2526.111 Safari/537.36,,,ru
28dcf8fe-9f1c-41ab-847d-9d3a01bb44d8,8,41:19.0,12:21.5,,,,,,1,,,,,,1,12.04686,12.448975,75.504166,0.81728655,0.10780815,,41.512222,14.0816345,44.406147,0.5144696,0.121946946,,32.828686,32.85715,34.314163,0.5074274,0.28454286,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,74.92699,12.040817,13.032189,0.19052596,0.10427348,,,,,1,negative,it's very common,1,,,,,,1,,,,,,,,,1,,,,,1,,,,,,,,1,1,,,,1,,,1,1,,,,1,,,,,,,,,,,20-24,female,some university (no degree),,,,1,,,,,urban area,Chui,,Uzbek,,,,,,,В наше время большая проблема заключается в межнациональных конфликтах.Зачастую в таких случаях страдает мирный народподдаваясь провокациям политиков.Хотелось бы мираспокойствия и благополучия в нашей стране.,мы за дружбу народов.,0.17205256,0.32345676,0.44023436,0.3358025,0.7038707,0.32345676,0.8584162,0.32592595,foikyrg2015,SenseMaker New WebCollector; Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML like Gecko) Chrome/47.0.2526.111 Safari/537.36,,,ru
2fe6e991-6be4-4f3c-a0ba-96818ed3a749,9,28:26.2,59:29.6,33.216732,34.897957,31.885307,0.49334288,0.30221632,,70.94166,13.67347,15.384876,0.22221611,0.11841222,,10.694461,11.632652,77.67288,0.83489215,0.10073876,,11.52659,14.897956,73.57545,0.81024426,0.12901634,,13.106068,40.612244,46.281685,0.66587806,0.35170203,,,,,,,1,13.307269,12.040817,74.65191,0.8067232,0.10427348,,12.638982,14.0816345,73.27939,0.80320203,0.121946946,,,,,,,1,,,,,,1,0.3231818,0.6768182,0.6768182,,negative,it's very common,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,1,,,,,,1,коррупция,,,,1,,,,,,,,35-39,male,university degree,,1,1,,1,1,,,urban area,Chui,,Kazakh,,,,,,,Недавно мы с друзьями отдыхали на природев районе объездной дороги Токмок-Бишкек.К нам подошли пограничники и сказаличто здесь нельзя отдыхать.Но потом они потребовали определенную сумму денегчтобы они могли отдыхать на этом месте дальше.Мы конечно заплатилине пропадать же шашлыкуно настроение у всех было уже испорчено.,Нет коррупции.,0.18568893,0.34814817,0.46068892,0.34320986,0.7425071,0.34074074,0.83114344,0.6493827,foikyrg2015,SenseMaker New WebCollector; Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML like Gecko) Chrome/47.0.2526.111 Safari/537.36,,,ru
