FragmentID,NarrID,EntryDate,ServerEntryDate,ExampleTriad1-Sugar,ExampleTriad1-Milk,ExampleTriad1-Tea/Coffee,ExampleTriad1-X,ExampleTriad1-Y,ExampleTriad1-N/A,T2 Decisions based on:-personal judgement/experience,T2 Decisions based on:-information/advice/experience of others,T2 Decisions based on:-resources/income,T2 Decisions based on:-X,T2 Decisions based on:-Y,T2 Decisions based on:-N/A,T1 What prevented things:-lack of opportunities,T1 What prevented things:-lack of relevant skills,T1 What prevented things:-lack of resources,T1 What prevented things:-X,T1 What prevented things:-Y,T1 What prevented things:-N/A,T3 What people pursued:-survival,T3 What people pursued:-power/status,T3 What people pursued:-wealth,T3 What people pursued:-X,T3 What people pursued:-Y,T3 What people pursued:-N/A,T4 Why people took action:-they went with the flow,T4 Why people took action:-they made up their own minds,T4 Why people took action:-they followed other's orders,T4 Why people took action:-X,T4 Why people took action:-Y,T4 Why people took action:-N/A,T5 What underlined approach:-practical issues,T5 What underlined approach:-moral obligations/social norms,T5 What underlined approach:-legality/legislation,T5 What underlined approach:-X,T5 What underlined approach:-Y,T5 What underlined approach:-N/A,T6 Attitude of people was:-some people are worth more than others,T6 Attitude of people was:-everyone should be treated the same,T6 Attitude of people was:-diversity is good,T6 Attitude of people was:-X,T6 Attitude of people was:-Y,T6 Attitude of people was:-N/A,T7 Lesson applies to:-past,T7 Lesson applies to:-present,T7 Lesson applies to:-future,T7 Lesson applies to:-X,T7 Lesson applies to:-Y,T7 Lesson applies to:-N/A,T8 Attitudes revealed were:-keeping tradition,T8 Attitudes revealed were:-wanting things to change,T8 Attitudes revealed were:-just trying to survive,T8 Attitudes revealed were:-X,T8 Attitudes revealed were:-Y,T8 Attitudes revealed were:-N/A,T9 People had:-a sense of belonging,T9 People had:-choices,T9 People had:-confidence,T9 People had:-X,T9 People had:-Y,T9 People had:-N/A,D1 Attitudes revealed were:-wanting change,D1 Attitudes revealed were:-keeping tradition,D1 Attitudes revealed were:-X,D1 Attitudes revealed were:-N/A,Q1 Feeling about example:,Q2 How common:,Q3 Who should hear:_everyone,Q3 Who should hear:_NGOs,Q3 Who should hear:_my friends and family,Q3 Who should hear:_international community,Q3 Who should hear:_my government,Q3 Who should hear:_no one special,Q4 Who influenced:_family and/or friends,Q4 Who influenced:_tv/radio,Q4 Who influenced:_religious leaders,Q4 Who influenced:_celebrities,Q4 Who influenced:_manager/boss,Q4 Who influenced:_teachers,Q4 Who influenced:_newspapers/magazines,Q4 Who influenced:_police,Q4 Who influenced:_doctors/nurses,Q4 Who influenced:_diaspora/community leader,Q4 Who influenced:_politicians,Q4 Who influenced:_different levels of government,Q4 Who influenced:_facebook/social computing,Q4 Who influenced:_CSOs,Q4 Who influenced:_other,Q4 Who influenced: Other,Q5 Story involves:_politics,Q5 Story involves:_trust,Q5 Story involves:_business/trade,Q5 Story involves:_environment,Q5 Story involves:_corruption,Q5 Story involves:_justice,Q5 Story involves:_poverty,Q5 Story involves:_international relations,Q5 Story involves:_respect/tolerance,Q5 Story involves:_human rights,Q5 Story involves:_education,Q5 Story involves:_violence,Q5 Story involves:_other,Q5 Story involves: Other,Q6 Who impacted experience:_ambitions for the future,Q6 Who impacted experience:_disability,Q6 Who impacted experience:_recreation/leisure activities,Q6 Who impacted experience:_work/employment,Q6 Who impacted experience:_calls for change,Q6 Who impacted experience:_freedom of movement,Q6 Who impacted experience:_utilities,Q6 Who impacted experience:_personal security,Q6 Who impacted experience:_failure,Q6 Who impacted experience:_other,Q6 WhoImpacted: Other,DQ1 Age,DQ2 Gender:,DQ3 Employment status:,DQ3 Employment status: Other,DQ4 Education:,DQ5 Live:,DQ6 Marital status,DQ6 Marital status: Other,DQ7 Which group identify with:_internally displaced persons (IDPs),DQ7 Which group identify with:_refugee,DQ7 Which group identify with:_resident/host,DQ7 Which group identify with:_marginalised,DQ7 Which group identify with:_other,DQ7 Which group identify with: Other,DQ8 Household income:,Your experience,StoryTitle,ProjectID,ApplicationName,Latitude,Longitude,Language
51ff49e6-9cf6-4874-9f6e-9c9d3320a1e6,1,2015/11/15 21:53:00.256,2015/11/15 21:52:54.408,32.918114,34.081635,33.00025,0.5004107,0.29514694,,7.816074,84.28571,7.898213,0.5004107,0.72991425,,,,,,,1,86.0282,6.734696,7.2371044,0.1060445,0.05832244,,,,,,,1,8.168188,84.28571,7.5460987,0.49688956,0.72991425,,7.6119924,84.69388,7.694131,0.5004107,0.733449,,7.555942,85.51021,6.933852,0.49688956,0.7405184,,,,,,,1,84.767784,7.1428604,8.089359,0.11660788,0.061857164,,0.917,0.083,0.083,,negative,it's very common,1,,,,,,1,,,,,,,,,,,,1,,1,كل ماذكر مؤاثره في اي المجتمع كان,,,,,,,,,,,,,1,الدين الاسلامي,,,,,,,,,,1,المجتمع كوني فرد من المجتمع,55-59,female,other,عالم دين,university degree,urban area,married with children,,,,1,,,,more or less the same as others in my community,"Experience special nation on the Sanaa old suffered from leadership problems and accidental and let the water and electricity and water and the high cost of living crisis, disable the schools, the bombing of mosques, of the influences that have affected the hearts of the inhabitants of the people of old Sanaa, the folks accustomed to peace and tranquility and accustomed to wit and houses of old Sanaa private detached tells of coming together, cooperation and brotherhood did not get used to this generation to the voices of lead in Sanaa as they city refuse in the nuptials hit the shot, came and comes warplanes hit the mountains around Sanaa, hit the panic hit Attan then followed by a private blows for the people of old Sana'a we do, babies suffered for horror Evzon from sleep screaming crying, children between six and eight years of age, where they hear the voices of the aircraft and antibiotics go to Hafhm or Btanyatem hiding underneath and women as soon as you hear the plane voted lock itself in a place or in a corner of it tremble dries Rigaha cry or take her children while you hear a plane go down to the cellar Home (free) takes three or four children in her lap like a mass of her body and one, one of them from the intensity of the fear does not move there as I mentioned came down and her unborn child, and there are those who haltingly while hear the voices of the aircraft or antibiotics there of sugar climbed them there is increased pressure there of displaced and went to the village and timely bought DBP twenty liters Petroleum fifty thousand there from leaving furniture which raised its value for decades and left behind him and returned to his village, this war has caused water crisis Ajehvt much of the population of Sanaa because more Sanaa, residents of low-income families arrived in the value of intentions water to 15,000 riyals means half the salary, Sanaa residents suffered power outages for tens of days, it draws a lot of food and other due to power outages, interrupted study now nearly seven months, the streets filled with after special Eid to children who hold Games that carry the culture of killing a relative lull pistols, protozoa, pioneers of mosques, schools, places of worship and culture because Altfjaarat that occur in the mosques in the Secretariat and some mosques were closed due to lack of water in. Psychologically community emotions reactions in single-family harsh disorders due prevented the war in the country, many merchants Velsoa dealers from medium, either in Amanat Many traders Velsoa due to the closure of their shops and draws Daathm these months, people expect a long war, or war civil impacted negatively on people's relationships with each other and the tension and hatred between the political components Kmautamr, repair and other causing a lot of conflicts, insults and other all this and other concerned public tranquility ... this aggression and war can never serve the Yemeni society, serving the major industrialized countries that promote their weapons and their drugs The industries of these to be Alshahub Kalaraca Libyan, Syrian and Yemeni fuel market leading industrialized nations products that nourish Astbarriet local conflicts and strengthen it to serve the people consuming even if that corpses are children and the pain and soreness this woman a wife, mother, daughter, under the United Kingdom umbrella and before the eyes of the international organizations that see all the suffering details these people, including the residents of Sanaa's historic old civilization that did not recognize their homes from destruction of the military machine of this human heritage as happened to the lane Qasimi old Sanaa it is a testament to the claims of these countries that call themselves they advanced civilized countries interested in human beings and heritage and civilization We fear citizens that cause these psychological effects and economic negatively on the Yemeni society.",Brutal man,foiyemen2015,SenseMaker New WebCollector; Mozilla/5.0 (Windows NT 6.2; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0,,,ar
8d91fa1b-5145-4b79-9335-2ac61376495a,2,2015/11/15 22:29:37.940,2015/11/15 22:29:31.063,33.27023,34.081635,32.648136,0.49688956,0.29514694,,36.15899,38.16326,25.67775,0.4475938,0.33049387,,80.1702,10.0,9.8298025,0.14829803,0.08660002,,,,,,,1,37.35186,25.918365,36.729774,0.49688956,0.22445303,,39.39268,21.836731,38.77059,0.49688956,0.1891061,,9.757725,58.571426,31.67085,0.6095656,0.50722855,,8.873853,48.367344,42.758804,0.6694248,0.4188612,,,,,,,1,76.144615,17.346937,6.5084457,0.15181915,0.15022446,,0.753,0.247,0.247,,negative,it's somewhat common,,,,1,,,1,1,,,,,,,,,1,,,,,,1,,,,,,,,,1,,1,,,,,,,,1,,,,1,وضع البلاد السي وفرص الحصاد,25-29,male,other,ربة بيت,university degree,urban area,married without children,,,,,,1,مهاجر,more or less the same as others in my community,"My story and my experience Tabtna very much Bgaha you, Bs Thankfully p each case the latter I am relieved, I traveled the United States before the bombing and the crisis and the problems because with me treated there treated papers and obtain citizenship and Qdha second visit me, according to the court date there during my presence there in the USA Welcome Day got problems the siege and locked airports and beyond what complemented treatment decided to refer Yemen was a tough situation because he is as far back to Yemen and was the only solution back by Saudi Arabia, but Makedrc my brother and I, despite that my papers and my brother his US passport and sat a full month trying to with the Saudi embassy in America give us a visa entry to Saudi Arabia as foreigners, but unfortunately what they gave us and our engagement with the US embassy in Saudi Arabia and worked a memorandum to the Saudi embassy in the US State and the Ministry of violin useless and their problem because I girl and Mainfh that sponsor Akflana countries of Saudi Arabia despite the fact that my brother gave him a visa because the Treaty sponsor virtue I married a necessary My husband is from Akflana and my husband mainly in Yemen Luckily the Twin Treaty set up in Saudi Arabia and had traveled Saudi Arabia in order to treat us there at the uS embassy in Saudi Arabia and the Ministry of Foreign Affairs after the rising of the spirit My husband got approval and traveled Arabia after the trouble and effort and fatigue (God take revenge on them), these are they suffering but the biggest suffering when we decided we travel Yemen across the deposit port (three days) treatment in the border who Kammelna treatment and we traveled during our journey and our exit off the Yemeni port and Yemeni border inside Yemeni territory shaft views crying There is no power but from God the people and the world of many Maatunain which Leste travels, which sat awaited end of his relatives is important to humiliation and insult, imagine one meal a day and people Naymen flattened them and their children and Nswanhm.",Hang out of the country's mercy,foiyemen2015,SenseMaker New WebCollector; Mozilla/5.0 (Windows NT 6.2; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0,,,ar
176cfa79-a7d7-4a19-95e3-307e1d2f0a18,334,2015/12/10 17:31:52.061,2015/12/10 17:31:51.501,16.904886,36.530613,46.5645,0.648298,0.3163551,,56.542725,7.9591827,35.498093,0.39477688,0.068926506,,82.634995,10.000001,7.3650146,0.12365013,0.08660002,,84.915825,7.551018,7.533165,0.11308675,0.06539184,,6.992556,65.51021,27.497234,0.6025234,0.5673183,,38.83648,22.244902,38.918617,0.5004107,0.19264084,,7.117596,40.612244,52.270157,0.7257628,0.35170203,,7.852002,86.32653,5.821465,0.48984733,0.74758774,,7.499888,86.32653,6.173579,0.49336845,0.74758774,,83.655396,7.9591827,8.385422,0.12365013,0.068926506,,0.981,0.019,0.019,,strongly negative,it's very common,,,,,1,,,,,,,,,,,,,,,,1,افضل عدم الاجابة,,,,,1,,,,,1,,,,,,,,,,,1,,,,,25-29,female,unemployed and looking for work,,university degree,urban area,single,,,,1,,,,more or less the same as others in my community,"Mohammed young man in his late twenties he lives with his family of mother, father and Lakhan married in the same house and Lakhan younger and smaller and his sister, in one of the mornings crisis woke Muhammad in the sixth hour to equip himself and goes to open a shop that slot his effort Profile Vfuji's mother lying in the House lounge and not the strength movement, rushed to him and assigned to a chair and then brought him some medicine that was covered by the advance is heart patient, try to linger but that he saw fatherhood worsen contact by a friend and told him that Assra comes a car to take him to the hospital, and nothing but minutes until it reached a friendly Vengulwh quickly but the hospital was devoid of any person, we can hardly see it, but disease and escorts, waited until the eighth and the situation gets worse and when he asked Muhammad was there he was told that there is one doctor is often a Syrian Muhannad it has to be that he is sleeping now because he was in the hospital until dawn did not know Muhammad how to act, you keep watching his father on the way? Faster time-to-house Syrian doctor and stayed knocking Lubaabah full hour even open his door while drunk severity of sleep and fatigue, but attended with him to the hospital to see his father and doing what is necessary.",Hospital Doctors Without,foiyemen2015,SenseMaker New WebCollector; Mozilla/5.0 (Windows NT 6.2; WOW64; rv:42.0) Gecko/20100101 Firefox/42.0,,,ar
27881a72-af32-4379-ab74-372f3cfdbfc2,335,2015/12/10 16:17:57.718,2015/12/10 16:17:57.442,75.776695,12.448975,11.774328,0.17998816,0.10780815,,,,,,,1,81.98681,9.183678,8.829514,0.13421352,0.07953063,,83.24722,8.775505,7.9772606,0.12365013,0.0759959,,,,,,,1,81.57865,10.0,8.421352,0.13421352,0.08660002,,6.690754,8.367348,84.9419,0.8912558,0.07246123,,46.88621,43.469383,9.644404,0.31379098,0.3764449,,9.914379,43.469383,46.616234,0.6835093,0.3764449,,,,,,,1,0.973,0.027,0.027,,strongly negative,it's rare but happens occasionally,1,,,,,,,,,,,,,,,,,,,,1,افضل عدم الاجابة,,,,,1,,,,,1,,1,,,1,,,,,,,1,,,,20-24,male,other,عاطلة ولا ابحث عن عمل,university degree,urban area,single,,1,,,,,,more or less the same as others in my community,"Burn our home in Thursday's 2-4 fifth time because of the strike Anti flight from Almashiq initially did not know, but we heard the voices of his children in the street, the house began to burn in the first round and we were Nkhtba under the stairs because the beating was severe, we ran away from home as we have from the clothing system Lamy, an elderly woman who can not get out of the house has a neighbor helping them to get out and we went to the house empty and then gave us the woman, her home will not live on the salary of the father of the deceased is brother to receive it and give me my mother and I, my brother, who is married to a friendly and religion has ceased to coin after the burning of the mall, which he worked in it. I completed my university did not Ahouda chance to work because I am the only one in the house and I live with my mother, who need to take care of.",Displaced families,foiyemen2015,SenseMaker New WebCollector; Mozilla/5.0 (Windows NT 6.2; WOW64; rv:42.0) Gecko/20100101 Firefox/42.0,,,ar
30543960-da8d-438f-a24b-9043b4d9f361,336,2015/12/10 17:26:54.319,2015/12/10 17:27:02.307,,,,,,1,48.906906,42.244896,8.848199,0.29970646,0.36584082,,7.780151,82.24489,9.974956,0.51097405,0.7122408,,14.95893,70.0,15.04107,0.5004107,0.6062,,8.892534,81.42857,9.678891,0.5039318,0.7051714,,76.536964,11.632652,11.830379,0.17646703,0.10073876,,77.5933,11.632652,10.77404,0.16590366,0.10073876,,76.38894,11.224487,12.386572,0.17998816,0.09720409,,7.698223,29.591835,62.709938,0.77505857,0.25626528,,41.549908,8.367348,50.08275,0.54266423,0.07246123,,0.185,0.815,0.815,,negative,it's rare but happens occasionally,1,,,,,,,,,,,,,,1,,1,,1,,,,1,1,,,,,,,,,,1,,,1,,,,,,1,,,,,35-39,female,self employed/entrepreneur,,complete technical/vocational,urban area,married with children,,,,1,,,,more or less the same as others in my community,"When you fight the dictators traitors forces Huthi and favor authoritarian Hassan Ali Khalaf Street Hraish street right were stationed in water management building tyrant forces and possession of armor-type BMB bombed by insurgents hero was the martyr Ahmed significant role of witnessing him all the sons of the city of Crater valiant and streets long-who fought concoct forces from within Hasan Street on the birthplace of the martyr Ahmed, who opened his home for cooking and buying water for the resistance of his own money and buy ammo and who received them personally as a friend Aziz he had the martyr Ahmed Amatorimtlleke ship for the people of the neighborhood Alsrajat (light) that Taataba electricity not only merely so he ministering the wounded, the elderly and take them to the hospital in his own car while fighting intensified in Hraish Street and Hassan on the use of tyrants tanks to bomb the buildings here was the role of the martyr heroic and humane the transfer of women and children live to a hotel fulfilling reality at the end of the streets of Crater all these did not score until his own blood when he was on foot without Force confident paced Klassad raging bullet hit treachery of sniper prodromal neighborhood in the left hand and bled a strong kuna injury torn arteries was to resuscitate him late for a clinic close to the neighborhood and the doctors decided to amputate the hand before the spread of the venom refused and tried to move himself into a hospital outside the Directorate and when he left for treatment arrested the hand of treachery that instead of his ministry dealt with him as a murderer and hit in the face and body until he died this is a story my friend and my brother, the late Ahmed Zeban and positions humanity and talent of leadership in the financial and moral support to the youth of the resistance heroes in the city of pride and dignity of Aden.",Hadi leave,foiyemen2015,SenseMaker New WebCollector; Mozilla/5.0 (Windows NT 6.2; WOW64; rv:42.0) Gecko/20100101 Firefox/42.0,,,ar
4035e76d-a477-4323-aa4f-cde6471e2a06,337,2015/12/10 16:34:38.022,2015/12/10 16:34:40.025,67.00549,22.244902,10.749604,0.21872056,0.19264084,,82.39498,8.367348,9.2376795,0.13421352,0.07246123,,81.22654,10.0,8.773463,0.13773464,0.08660002,,78.35359,10.816322,10.830092,0.16238253,0.09366936,,52.136276,33.67347,14.190252,0.31026986,0.29161227,,74.92443,12.040817,13.034746,0.19055155,0.10427348,,42.269943,13.2653055,44.464752,0.51097405,0.114877544,,7.3518605,85.918365,6.7297707,0.49688956,0.74405307,,8.393827,45.102043,46.50413,0.6905515,0.3905837,,73.6439,15.306121,11.049981,0.18703042,0.13255101,,0.713,0.287,0.287,,strongly negative,it's somewhat common,,1,,,,,1,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,1,,,1,,,1,,,,1,,,,25-29,male,unemployed and looking for work,,university degree,urban area,single,,,,1,,,,less than others in my community,"I am a girl completed my university, my life was running normally Live My mom and I just you dabble in housing and other work in acetylcholine Office under the circumstances, which have become lost my job, becoming a unemployed and tried to look for work, but I can not find, the area is full of Balihuth Live where it was beaten continuously from snipers in the history of 17-4 the situation has ill and we decided my sister and I and my mother displacement to Mukalla, but we went to the people of the area did not find comfort in the house due to congestion, as well as treatment in a bad way we came back home, hoping that the situation would be better, we sat for nearly 17 days without water Hla Electricity can not tolerate the situation Nzhna again to Development, suffered from high prices and the lack of greenery in the development Jalsna to the end of the war and after they were freed Aden came back to life, we go back to our home.",Not Ahouda no chance,foiyemen2015,SenseMaker New WebCollector; Mozilla/5.0 (Windows NT 6.2; WOW64; rv:42.0) Gecko/20100101 Firefox/42.0,,,ar
58c88228-70d8-473a-987c-8a319e143405,338,2015/12/10 16:00:06.494,2015/12/10 16:00:08.903,67.56169,21.836731,10.601579,0.21519943,0.1891061,,58.754562,29.591835,11.653602,0.2644952,0.25626528,,5.691902,71.63265,22.675447,0.5849177,0.6203388,,72.51138,18.979591,8.509021,0.17998816,0.16436327,,70.89886,19.387756,9.713389,0.19407266,0.16789798,,86.73242,6.7346954,6.532877,0.09900225,0.05832244,,6.598764,7.1428604,86.258385,0.898298,0.061857164,,7.4079103,85.10204,7.4900484,0.5004107,0.73698366,,6.3027086,6.326531,87.37076,0.90534025,0.05478777,,81.78273,9.591835,8.625435,0.13421352,0.083065294,,0.13700002,0.863,0.863,,strongly negative,it's very common,1,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,20-24,male,student,,university degree,urban area,single,,,,1,,,,more or less the same as others in my community,"Mary and her family in Ramadan on 7-7-2015m was a terrifying day for us was for the first time up strikes Alkotusha to the neighborhood who inhabit it (Wadih Haddad) was at ten at night and died the track a couple of resistance they are our neighbors, at that time we felt panic and panic after about hour came Alcatusha rockets again but heavily we went to the gym for fear that it strikes one of these missiles shortly afterwards came one missile in the architecture that beside us, which led to break the windows of our house and entered dust and small stones at the time we saw the death and we watch the moment of the occurrence of one of the rockets we at that time we could not even escape from our house because of the fear and the position in which we live we continue to deny the case for two hours, then stopped a little multiplication and went outside hurried to the home of a relative us and we stayed in it the next day and then we went back to the house, also in that suffered from electricity and water outages and lack of the exact material (wheat) were tough days Balencih us and most severe.",Alcatusha rocket attack on the house,foiyemen2015,SenseMaker New WebCollector; Mozilla/5.0 (Windows NT 6.2; WOW64; rv:42.0) Gecko/20100101 Firefox/42.0,,,ar
70fcbc4d-ffff-4103-ae5c-5f6d68b57531,339,2015/12/10 15:46:33.742,2015/12/10 15:46:34.129,46.683563,7.9591827,45.357258,0.49336845,0.068926506,,6.598764,7.1428604,86.258385,0.898298,0.061857164,,5.479194,87.55102,6.96979,0.50745296,0.7581918,,88.54904,5.918366,5.5325913,0.08491774,0.051253047,,5.7752585,88.36734,5.8573976,0.5004107,0.76526123,,86.73242,6.7346954,6.532877,0.09900225,0.05832244,,6.0986266,6.7346954,87.16668,0.90534025,0.05832244,,5.627231,87.95918,6.4135885,0.5039318,0.7617265,,5.979341,87.95918,6.0614796,0.5004107,0.7617265,,7.302993,7.1428604,85.55415,0.8912558,0.061857164,,0.22899997,0.771,0.771,,neutral,it's very common,,1,,,,,,,1,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,45-49,female,salaried professional,,complete primary,urban area,married with children,,,,1,,,,less than others in my community,"I am instead of on a rainy day in the city of Jaar bombing and my children fell asleep Vtahedmt room where my children and I'm from the families of the poorest in the lane, God forbid greeted God did not affect my children harmed thankfully but I Ashkoa not to give me compensation from any point not seen the one into compassion, I now needed to help me and stand with me in building though the room for my children to dwell in knowing that in the house three families and I'm from Ailhm and stopped all private business because of war and destruction, which included Yemen as a whole, but I am optimistic that relief is near.",I want to live,foiyemen2015,SenseMaker New WebCollector; Mozilla/5.0 (Windows NT 6.2; WOW64; rv:42.0) Gecko/20100101 Firefox/42.0,,,ar
8aa39296-199b-4d54-acb7-ebd886885289,340,2015/12/10 17:19:19.950,2015/12/10 17:19:23.744,67.357605,22.244902,10.397492,0.21519943,0.19264084,,66.18917,23.877548,9.933281,0.21872056,0.20677957,,7.295806,86.7347,5.969497,0.49336845,0.7511225,,68.65827,16.122452,15.21928,0.23280506,0.13962041,,8.224234,83.4694,8.306372,0.5004107,0.7228449,,,,,,,1,7.1262174,25.102043,67.77174,0.8032276,0.2173837,,43.609406,37.346943,19.043653,0.37717125,0.32342452,,7.8390718,9.591835,82.56909,0.87365013,0.083065294,,67.39784,16.530617,16.071539,0.24336845,0.14315513,,0.869,0.131,0.131,,negative,it's rare but happens occasionally,1,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,افضل عدم الاجابة,35-39,male,other,بيع بضائع بسيطة,complete primary,urban area,widowed,,,,1,,,,less than others in my community,"Claimed Umm Mohammed dwell in Mualla - Hafon dwell in the faithful Houthi house're counting my family and my children in the sale of goods, clothes and after a crisis erupted between the forces coup and scramble to Aden and when the militia al-Huthi forces ousted Saleh shelled houses with mortars indiscriminately and without discrimination Adatrina to flee and leave the house in 25-3-2015m and we went to the Mansoura neighborhood of Cairo with the family of free and family, my aunt and we entered the house where four families and a lack of necessities of life of food and gas and electricity we have not received any support from any quarter, Vtassapt living and lived in a psychological state that worrying was able to travel to the villages because of the free and cousin who were part of the popular resistance .obadha been the distinction between us where we went out to a house do not know the owner and we were mortar shelling of the putschists gangs and we were injuries and after the liberation of Aden from the coup and expelled Alihuth promise to lose our house Fujdnah destroyed almost completely and the theft of clothes and goods that were the source of our income and Adatrina to return Cairo - Mansoura sat where but suffered architecture to blow up the ground floor where the medicine institution and we lived in the same building and after the explosion left the house before dawn and we go back to in the 9 o'clock and 3 days later the owner of Amarah came and forced us to leave the house and went out looking for shelter on the fifth day and found one police officer lives in warm Vedjlna hotel So we abode faithful for a month and after the Eid al-Adha came to us a group and asked of us leave the hotel at the time of 10:00 was to get us out into the street, so we went to kindergarten Alehivae in the Sheikh Othman Fjelsna where for two days and then got us out a group of monastic kindergarten and got us out into the street Fadatrina back to our house in Amuallae - Hafon and a dilapidated house and now we live in a difficult tragedy did not come any government agencies raise us harm and solved our problem.",My story tragedy of my suffering,foiyemen2015,SenseMaker New WebCollector; Mozilla/5.0 (Windows NT 6.2; WOW64; rv:42.0) Gecko/20100101 Firefox/42.0,,,ar
8ee415bc-b41d-4c5e-ba6e-a97cd12564a6,341,2015/12/10 17:44:34.511,2015/12/10 17:44:34.872,18.033085,40.612244,41.354668,0.6166079,0.35170203,,43.846542,10.816322,45.33714,0.50745296,0.09366936,,10.507933,9.183678,80.30838,0.84900224,0.07953063,,83.655396,7.9591827,8.385422,0.12365013,0.068926506,,8.408198,85.918365,5.673433,0.4863262,0.74405307,,,,,,,1,11.600203,11.224487,77.1753,0.8278755,0.09720409,,10.877295,78.16327,10.959434,0.5004107,0.6768939,,10.599921,10.408165,78.99191,0.84196,0.090134695,,9.470285,42.244896,48.284813,0.69407266,0.36584082,,0.833,0.167,0.167,,strongly negative,it's rare but happens occasionally,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,1,,,,,,1,,,,,,,,25-29,male,unemployed and looking for work,,incomplete primary,urban area,single,,,,,1,,,less than others in my community,"When the reign of darkness and less opportunities to live the rest of life does not taste them, this my family lacks some of the means to survive over the mountain people of Aidaroos there our house modest living on the door of God collect relief to complete the life and one day, when the benefit of the tyrant forces and Huthi spread to revive Crater possession of armor type BMB to kill Anyone who stands in front of them you that I and my family, consisting of 12 individuals brings us to sleep in the same room and at 6:00 shell burn up the walls of our house vigorously strike grandmother head the torn and, full of blood on the walls of the room for the dissociation of life like a dream surpassed nightmare did I do something not sleep all crying and beating continuously sent down from the mountain, find shelter in mosques and fear unlucky my family did not know sleep later and at 12:00 was buried near the neighborhood herd cemetery and then my family to go I decided to Taiz we do not have the life and the situation is getting worse livelihood and the loss of my grandmother, I'll keep this room retains memories Alqveh and blood on the walls and the gap do not sleep in that room anymore.",Destiny shell,foiyemen2015,SenseMaker New WebCollector; Mozilla/5.0 (Windows NT 6.2; WOW64; rv:42.0) Gecko/20100101 Firefox/42.0,,,ar
